                   ,WHO Region,WHO Region.1,LF DALYs,SCHIST DALYs,Whipworm DALYs,Unnamed: 6,Unnamed: 7,Hookworm DALYs,Unnamed: 9,Unnamed: 10,Roundworm DALYs,Unnamed: 12,Unnamed: 13,ONCH DALYs,LF Treatment Coverage,Unnamed: 16,Unnamed: 17,Unnamed: 18,SCHIST Treatment Coverage,Unnamed: 20,STH,Unnamed: 22,Unnamed: 23,Unnamed: 24,ONCH Treatment Coverage,Unnamed: 26,Unnamed: 27,Unnamed: 28,Prevalence (%),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,LF Efficacy,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Schist Efficay,Unnamed: 46,Whipworm Efficacy,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Hookworm Efficacy,Unnamed: 54,Unnamed: 55,Unnamed: 56,Roundworm Efficacy,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,ONCH Efficacy,Unnamed: 64,Treatment Guidelines,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Impact of  LF,Unnamed: 75,Impact of Schist,Impact of Whipworm,Unnamed: 78,Unnamed: 79,Impact of Hookworm,Unnamed: 81,Impact of Roundworm,Unnamed: 83,Unnamed: 84,Impact of Onch
,,,Total DALYs,Total DALYs,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Total DALYs,Prevalence,Number Treated,LF Treatment Coverage,Estimated LF Treatment Coverage,SCHIST Treatment Coverage,Estimated Schist Treatment Coverage,STH Pre-SAC Treatment Coverage,Estimated STH Pre-SAC Treatment Coverage,STH SAC Treatment Coverage,Estimated STH SAC Treatment Coverage,Number of People Needing Treatment for ONCH,Number of People Treated for ONCH,ONCH Treatment Coverage,Estimated ONCH Treatment Coverage,LF,SCHIST All Ages,SCHIST SAC,Whipworm,Whipworm,Hookworm,Hookworm,Roundworm,Roundworm,ONCH,*Single Dose of DEC (6mg/kg) (Updated),Estimated Efficacy,*Single dose of DEC (6mg/kg)+ALB(4a00mg) (Updated),Estimated Efficacy,*Combination of ALB(400mg)+IVM(400ug/kg) (Updated),Estimated Efficay,PZQ,,Alb,,Mbd,,Ivm+Alb,,ALB,,Mbd,,Alb,,Mbd,,Ivm+Alb,,IVM,IVM,LF,ONCH,SCHIST,STH Level,Coding,MDA type,Treatment Part 1,Treatment Part 2,Diseases Targeted by the MDA,DEC+ALB,IVM+ALB,PZQ,ALB,MBD,IVM+ALB,ALB,MBD,ALB,MBD,IVM+ALB,IVM
Guam,WPR,"161,797",0.0,0.0,0.4,3.6,14.7,0.3,1.2,8.3,0.3,0.3,1.4,0.00E+00,,,,53.23%,,78.35%,,35.94%,,53.47%,,,,71.92%,0.00%,0.00%,0.00%,2.16%,6.85%,1.14%,1.39%,1.08%,1.25%,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,0,0,1,0,0010,T2,PZQ,PZQ,schist only,,,0.0,,,,,,,,,
Guatemala,AMR,"16,252,429",0.0,0.0,39.7,84.8,1212.0,140.9,379.0,2846.7,824.2,311.3,2340.9,0.00E+00,,,,64.51%,,0.25%,37.62%,37.62%,27.95%,27.95%, , ,,75.74%,0.00%,0.00%,0.00%,2.74%,8.73%,2.87%,3.50%,12.92%,14.98%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,37.34%,37.34%,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,0.0,,,,,,,,,0
Guinea,AFR,"12,091,533",16361.2,14603.4,25.1,149.5,486.1,392.3,1236.6,4699.3,5507.0,1306.1,7626.4,2625.4,"487,262","5,588,471",76.35%,76.35%,42.74%,42.74%,,76.05%,99.49%,99.49%,"6,930,788.00","5,007,554.00",72.25%,72.25%,4.20%,9.95%,1.19%,2.87%,9.52%,6.11%,7.81%,13.21%,16.07%,0.32%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,198.9455971,8471.722,,,,,,,,,0.4259610455
Guinea-Bissau,AFR,"1,770,526",5523.1,1980.7,0.1,0.4,0.9,151.3,443.4,1706.6,90.0,12.6,106.4,3.2,"158,512","831,768",73.50%,73.50%, , ,100.00%,100.00%,49.41%,49.41%,"554,035.00","429,437",77.51%,77.51%,8.73%,7.04%,0.44%,2.19%,7.19%,20.20%,25.52%,5.47%,6.59%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,0,1,0,1010,MDA1/2+T2,IVM+ALB or DEC +ALB,PZQ,lf+schist ,,133.1218707,,,,,,,,,,
Guyana,AMR,"768,514",2299.8,0.0,0.1,0.4,1.4,1.1,3.4,16.5,4.5,6.0,19.2,0,"62,99","437,965",60.89%,60.89%,,0.25%,68.96%,68.96%,55.39%,55.39%,,,,75.74%,8.64%,0.00%,0.00%,1.84%,5.97%,0.78%,0.96%,7.66%,9.02%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,1,0,0,0,1000,MDA1/2,IVM+ALB or DEC+ALB,,lf only,53.16251136,170.2067761,,,,,,,,,,
Haiti,AMR,"10,711,061",25061.4,0.0,1.4,9.0,52.5,197.2,561.9,2790.8,264.7,128.8,577.3,0,"541,57","2,838,735",50.91%,50.91%,,0.25%,11.79%,11.79%,24.16%,24.16%,,,,75.74%,4.68%,0.00%,0.00%,2.21%,7.34%,6.85%,8.72%,12.80%,15.47%,0.00%,9.20%,9.20%,11.40%,11.40%,75.75%,75.75%,,92.0%,45.60%,45.60%,,60.00%,79.60%,79.60%,92.00%,92.00%,,17.20%,97.64%,97.64%,,76.90%,100.00%,100.00%,,37.34%,1,0,0,0,1000,MDA1/2,IVM+ALB or DEC+ALB,,lf only,72.2237673,735.8189181,,,,,,,,,,
Honduras,AMR,"8,960,829",0.0,0.0,24.1,138.2,1010.2,26.0,79.6,436.8,378.4,636.4,2693.1,0,,,,64.51%,,0.25%,57.28%,57.28%,54.90%,54.90%,,,,75.74%,0.00%,0.00%,0.00%,2.97%,9.41%,1.27%,1.55%,23.53%,27.20%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Hungary,EUR,"9,843,028",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Iceland,EUR,"330,815",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
India,SEA,"1,309,053,980",96265.9,0.0,845.4,6575.4,22957.9,6711.7,25830.7,116914.4,24186.4,47118.7,144406.6,0,"14,814,234","172,239,772",41.10%,41.10%,,28.06%,100.00%,100.00%,100.00%,100.00%,,,,71.92%,1.09%,0.00%,0.00%,2.52%,8.37%,2.09%,2.64%,9.40%,11.41%,0.00%,37.30%,37.30%,44.63%,44.63%,14.00%,14.00%,,94.9%,,53.94%,,37.87%,,59.76%,,71.33%,,20.50%,66.00%,66.00%,,100.00%,,84.80%,,78.08%,1,1,0,0,1100,MDA1,IVM+ALB,,lf+onch,,64.28441543,,,,,,,,,,0
Indonesia,SEA,"258,162,113",169889.7,186.3,134.8,1100.3,7468.5,654.9,3004.3,19126.5,5441.7,11174.9,34237.8,0,"11,298,547","39,726,828",78.22%,78.22%,28.06%,28.06%,115.70%,115.70%,102.12%,102.12%,,,,71.92%,4.50%,0.00%,0.00%,4.34%,14.22%,2.12%,2.64%,13.41%,15.79%,0.00%,,47.82%,72.00%,72.00%,,14.00%,,94.9%,66.70%,66.70%,,37.87%,,59.76%,,71.33%,,20.50%,,83.00%,,100.00%,,84.80%,,78.08%,1,0,1,0,1010,MDA1/2+T2,IVM+ALB or DEC +ALB,PZQ,lf+schist ,,939.7332994,67.615,,,,,,,,,
Iran,EMR,"79,360,487",0.0,27.4,0.0,0.0,0.1,30.8,59.0,494.3,42.4,61.5,244.9,0,,,,14.95%,,65.90%,,97.54%,,41.45%,,,,45.86%,0.00%,0.00%,0.00%,1.06%,3.40%,0.28%,0.35%,1.89%,2.20%,0.00%,,37.13%,,79.35%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,95.50%,,100.00%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
