Country,WHO Region,Population,LF DALYs,SCHIST DALYs,Whipworm DALYs,Unnamed: 6,Unnamed: 7,Hookworm DALYs,Unnamed: 9,Unnamed: 10,Roundworm DALYs,Unnamed: 12,Unnamed: 13,ONCH DALYs,LF Treatment Coverage,Unnamed: 16,Unnamed: 17,Unnamed: 18,SCHIST Treatment Coverage,Unnamed: 20,STH,Unnamed: 22,Unnamed: 23,Unnamed: 24,ONCH Treatment Coverage,Unnamed: 26,Unnamed: 27,Unnamed: 28,Prevalence (%),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,LF Efficacy,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Schist Efficay,Unnamed: 46,Whipworm Efficacy,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Hookworm Efficacy,Unnamed: 54,Unnamed: 55,Unnamed: 56,Roundworm Efficacy,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,ONCH Efficacy,Unnamed: 64,Treatment Guidelines,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Impact of  LF,Unnamed: 75,Impact of Schist,Impact of Whipworm,Unnamed: 78,Unnamed: 79,Impact of Hookworm,Unnamed: 81,Impact of Roundworm,Unnamed: 83,Unnamed: 84,Impact of Onch
,,,Total DALYs,Total DALYs,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Total DALYs,Prevalence,Number Treated,LF Treatment Coverage,Estimated LF Treatment Coverage,SCHIST Treatment Coverage,Estimated Schist Treatment Coverage,STH Pre-SAC Treatment Coverage,Estimated STH Pre-SAC Treatment Coverage,STH SAC Treatment Coverage,Estimated STH SAC Treatment Coverage,Number of People Needing Treatment for ONCH,Number of People Treated for ONCH,ONCH Treatment Coverage,Estimated ONCH Treatment Coverage,LF,SCHIST All Ages,SCHIST SAC,Whipworm,Whipworm,Hookworm,Hookworm,Roundworm,Roundworm,ONCH,*Single Dose of DEC (6mg/kg) (Updated),Estimated Efficacy,*Single dose of DEC (6mg/kg)+ALB(4a00mg) (Updated),Estimated Efficacy,*Combination of ALB(400mg)+IVM(400ug/kg) (Updated),Estimated Efficay,PZQ,,Alb,,Mbd,,Ivm+Alb,,ALB,,Mbd,,Alb,,Mbd,,Ivm+Alb,,IVM,IVM,LF,ONCH,SCHIST,STH Level,Coding,MDA type,Treatment Part 1,Treatment Part 2,Diseases Targeted by the MDA,DEC+ALB,IVM+ALB,PZQ,ALB,MBD,IVM+ALB,ALB,MBD,ALB,MBD,IVM+ALB,IVM
,,,,,,,,,,,,,,,,,38.06%,57.09%,Global Average,47.92%,Global Average,71.16%,Global Average,65.01%,,,Global Average,68.90%,,,5-14 years,1-4 years,5-14 years,1-4 years,5-14 years,1-4 years,5-14years,,,,,,,,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,1 if endemic,1 if endemic,1 if endemic,"2 if high, 1 if low",,,,,,490.78,"4,477.28",0.00,"4,698.13","1,850.99","4,172.44","26,024.23","3,357.95","167,338.19","3,844.00","69,289.96","2,790.64"
Bosnia and Herzegovina,EUR,"3,535,961",0,0,0,0,0,0,0,0,0,0,0,0,,,,57.09%,,47.92%,,2.23%,,59.83%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Botswana,AFR,"2,209,197",0,3433.187453,19.22177513,79.87677505,99.09855018,133.25868,349.279788,482.5384679,8.146325209,8.655327412,16.80165262,0,,,,33.45%,,42.20%,,80.85%,,59.38%,,,,63.75%,0.00%,19.00%,4.85%,14.76%,22.81%,12.43%,19.88%,4.90%,7.69%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,1952.188,,,,,,,,,0
Brazil,AMR,"205,962,108",15.3,103557.7453,330.0964846,"2,062.85","2,392.95","1,795.00","5,533.54","7,328.54","1,995.38","4,469.17",6464.547927,22.17371411,"43,186","25,766",59.66%,59.66%,,47.92%,,68.50%,67.85%,67.85%,"15,323.00","10,745.00",70.12%,70.12%,0.00%,6.00%,0.10%,4.44%,6.79%,3.37%,5.18%,8.15%,12.58%,0.00%,42.60%,42.60%,57.90%,57.90%,,75.75%,,91.70%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0,81177.578,,,,,,,,,0
British Virgin Islands,AMR,"30,113",0,0,,,0,0,0,0,,,0,0,,,,35.66%,,47.92%,,68.50%,,75.51%,,,,71.01%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Brunei Darussalam,WPR,"417,542",0,0,,,0,0,0,0,0.158562676,0.071025963,0.229588639,0,"9,239",,0.00%,37.84%,,73.97%,,61.41%,,60.18%,,,,68.90%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,1,0,0,0,1000,MDA1/2,IVM+ALB or DEC+ALB,,lf only,0,0,,,,,,,,,,
Bulgaria,EUR,"7,177,991",0,0,0,0,0,0,0,0,0,0,0,0,,,,57.09%,,47.92%,,2.23%,,59.83%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Burkina Faso,AFR,"18,110,624",13668.63,12651.96034,0.037700284,0.1879412,0.225641484,388.370419,"1,010.47",1398.837114,5445.274757,528.3275412,5973.602298,0,"6,713,705","5,393,933",80.34%,80.34%,94.50%,94.50%,,80.85%,55.46%,55.46%,"252,961.00","244,178.00",96.53%,96.53%,1.11%,4.00%,1.12%,1.14%,1.85%,3.64%,5.91%,1.11%,1.73%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,46.98577703,54558.113,,,,,,,,,0
Burundi,AFR,"10,199,270",0,13946.29347,36.72568603,136.7211045,173.4467906,1092.08502,"2,545.15","3,637.23","2,865.28",613.1351795,3478.412189,10860.3099,,,,33.45%,24.80%,24.80%,93.53%,93.53%,100.00%,100.00%,"1,664,143.00","1,352,797.00",81.29%,81.29%,0.00%,10.00%,3.26%,7.66%,11.93%,13.34%,21.24%,8.13%,12.71%,1.40%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,3775.257,,,,,,,,,10.87267626
Cambodia,WPR,"15,517,635",1245.34,7722.733786,0,0,0,14.1708558,20.8861815,35.05703728,128.9718949,46.75159713,175.723492,0,,,,37.84%,82.40%,82.40%,98.62%,98.62%,95.99%,95.99%,,,,68.90%,0.07%,4.00%,0.35%,0.00%,0.00%,0.23%,0.36%,0.35%,0.57%,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,27698.751,,,,,,,,,0
Cameroon,AFR,"22,834,522",24311.92,33185.38703,295.8922655,1210.7936,1506.685865,931.655706,"2,472.42","3,404.07","15,410.02","5,556.74",20966.75995,78728.2862,"16,968,062","11,021,942",64.96%,64.96%,56.80%,56.80%,,80.85%,97.48%,97.48%,"10,866,999.00","7,572,216.00",69.68%,69.68%,2.11%,13.00%,4.40%,10.67%,16.31%,6.57%,10.36%,17.32%,25.80%,4.14%,,31.23%,,40.00%,,29.43%,,97.88,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,100.00%,100.00%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,121.2502264,41473.073,,,,,,,,,152.9306412
