Country,Population,DALY,Year,strain,avail_drug_list,avail_drug_col_list,drug_mapping,strain_prevalence,strain_pct,strain_treat_covg_pct,AZM,Impact_AZM,Total_impact
Chile,17762681.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
China,1371220000.0,11163.19,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3122,0.7895,0.0,0.0
"China, Hong Kong SAR",7305700.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
"China, Macao SAR",600942.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Colombia,48228697.0,140.6320106,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},153567.0,1,0.1539,0.7895,19.44725119,19.44725119
Comoros,777424.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
Congo,4995648.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
Cook Islands,18800.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Costa Rica,4807852.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Cote d'Ivoire,23108472.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3836,0.8583,0.0,0.0
Croatia,4203604.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Cuba,11461432.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Curacao,157979.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Cyprus,1160985.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Czech Republic,10546059.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Democratic People's Republic of Korea,25243917.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.7895,0.0,0.0
Democratic Republic of the Congo,76196619.0,829.81,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},7096441.0,1,0.1447,0.8583,117.7041714,117.7041714
Denmark,5683483.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Djibouti,927414.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.1157,0.6853,0.0,0.0
Dominica,73162.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
